mask_id,gender,age,test_date,test_time,EI,SN,TF,JP,face_img
000000046881,female,20.0,2010-11-01,526,15,17,7,8,000000038879.png
000000038952,male,20.0,2010-11-01,413,18,18,13,8,000000007521.png
000000032245,male,20.0,2010-11-01,538,8,16,19,16,000000054599.png
000000005326,male,20.0,2010-11-01,369,17,17,6,16,000000024839.png
000000025188,female,20.0,2010-11-01,330,17,10,6,18,000000006689.png
000000034634,male,20.0,2010-11-01,382,13,24,4,9,000000018763.png
000000053426,female,17.0,2010-11-01,543,13,22,12,14,000000030112.png
000000033200,male,20.0,2010-11-01,367,16,13,20,21,000000019011.png
000000010812,male,20.0,2010-11-01,386,13,16,7,17,000000016334.png
000000040921,male,20.0,2010-11-01,570,1,12,10,18,000000037729.png
000000048666,male,20.0,2010-11-01,591,2,4,9,7,000000051528.png
000000035184,female,20.0,2010-11-01,289,8,7,6,5,000000040048.png
000000041371,female,20.0,2010-11-01,276,17,9,9,7,000000021878.png
000000020456,male,20.0,2010-11-01,385,6,23,19,14,000000014022.png
000000030442,female,20.0,2010-11-01,201,10,17,19,18,000000007357.png
000000049615,female,20.0,2010-11-01,322,19,18,10,19,000000044810.png
000000005161,male,20.0,2010-11-01,423,16,10,13,15,000000042777.png
000000000437,female,20.0,2010-11-01,398,18,17,18,18,000000048954.png
000000031765,male,20.0,2010-11-01,323,18,24,10,18,000000056468.png
000000037810,female,20.0,2010-11-01,336,16,21,8,18,000000038509.png
000000035967,female,20.0,2010-11-01,489,5,14,20,9,000000028973.png
000000010769,female,20.0,2010-11-01,390,4,18,15,16,000000000944.png
000000001092,male,20.0,2010-11-01,488,8,16,19,21,000000055486.png
000000051993,male,20.0,2010-11-01,720,11,5,16,20,000000002637.png
000000041569,male,20.0,2010-11-01,235,4,13,17,15,000000033438.png
000000008762,female,20.0,2010-11-01,280,14,15,18,21,000000055739.png
000000053528,male,20.0,2010-11-01,328,7,26,21,18,000000001897.png
000000004459,female,20.0,2010-11-01,404,13,13,2,6,000000039611.png
000000014030,female,20.0,2010-11-01,309,5,20,9,18,000000013934.png
000000039838,male,20.0,2010-11-01,326,18,2,11,13,000000043950.png
000000000746,female,20.0,2010-11-01,442,19,24,3,18,000000052023.png
000000040600,female,20.0,2010-11-01,298,5,13,20,16,000000011400.png
000000030687,male,18.0,2010-11-01,274,9,17,19,17,000000030006.png
000000051101,female,20.0,2010-11-01,332,18,14,9,17,000000031043.png
000000045907,female,18.0,2010-11-01,400,9,22,11,12,000000023128.png
000000023437,female,20.0,2010-11-01,325,19,21,5,7,000000024399.png
000000015441,female,20.0,2010-11-01,401,12,15,5,18,000000054320.png
000000033845,female,20.0,2010-11-01,462,14,14,7,18,000000014086.png
000000011142,female,20.0,2010-11-01,363,3,17,17,18,000000011638.png
000000010342,male,20.0,2010-11-01,387,16,8,18,18,000000002414.png
000000028793,female,20.0,2010-11-01,443,20,18,5,20,000000055250.png
000000037787,female,20.0,2010-11-01,415,10,12,12,18,000000044820.png
000000029177,female,20.0,2010-11-01,585,9,16,11,21,000000045156.png
000000048853,female,20.0,2010-11-01,209,13,10,7,5,000000035111.png
000000007556,female,20.0,2010-11-02,486,7,12,6,14,000000045765.png
000000054610,female,20.0,2010-11-02,287,20,10,6,7,000000030693.png
000000051532,female,20.0,2010-11-02,389,12,9,9,15,000000050565.png
000000034427,male,20.0,2010-11-02,307,17,16,14,20,000000048214.png
000000032491,male,20.0,2010-11-02,403,16,20,12,18,000000023887.png
000000055051,male,20.0,2010-11-02,367,15,17,18,19,000000043765.png
000000010390,female,20.0,2010-11-02,747,12,14,6,18,000000012518.png
000000042693,male,20.0,2010-11-02,489,10,16,20,19,000000005073.png
000000036890,female,20.0,2010-11-02,308,11,23,15,19,000000028980.png
000000002893,female,20.0,2010-11-02,258,15,11,2,10,000000040952.png
000000007452,female,20.0,2010-11-02,489,14,10,15,10,000000037532.png
000000024608,male,20.0,2010-11-02,702,7,13,21,18,000000044622.png
000000003849,female,20.0,2010-11-02,378,10,9,1,5,000000016983.png
000000028278,female,20.0,2010-11-02,434,8,21,11,18,000000006786.png
000000050293,male,20.0,2010-11-02,420,15,11,9,8,000000046161.png
000000026756,female,20.0,2010-11-02,443,5,21,15,17,000000006514.png
000000033448,female,20.0,2010-11-02,285,19,5,3,8,000000003491.png
000000011462,female,20.0,2010-11-02,409,13,7,8,5,000000004505.png
000000029085,female,20.0,2010-11-02,335,6,16,22,8,000000030731.png
000000040217,female,20.0,2010-11-02,360,10,9,21,19,000000028998.png
000000054491,female,20.0,2010-11-02,438,19,7,5,11,000000047132.png
000000000748,male,20.0,2010-11-02,364,17,22,23,22,000000053773.png
000000026907,female,20.0,2010-11-02,420,21,18,7,14,000000032387.png
000000010193,female,20.0,2010-11-02,675,19,18,14,19,000000006807.png
000000044494,female,20.0,2010-11-02,424,19,10,6,16,000000015965.png
000000015142,female,20.0,2010-11-02,964,13,13,8,10,000000017590.png
000000052075,female,20.0,2010-11-02,355,11,14,21,18,000000041785.png
